Bin_ID,Location,Timestamp,Current_Fill_Level,Previous_Fill_Level,Fill_Rate,Day_of_Week,Hour,Waste_Type,Historical_Average_Fill,Collection_Due,Overflow_Status
CA-06,Common Area,2026-09-30T16:00:00,74.45,64.48,3.3,Wednesday,10,Plastic,57.56,No,Likely Overflow
CAN-08,Canteen,2026-09-07T03:00:00,66.0,62.09,8.4,Monday,21,Mixed,64.42,Yes,Likely Overflow
CA-06,Common Area,2026-09-12T01:00:00,81.32,74.45,2.64,Saturday,19,Plastic,58.75,Yes,Likely Overflow
CA-02,Common Area,2026-09-25T01:00:00,93.7,95.17,3.3,Friday,19,Plastic,46.47,Yes,Overflowed
CAN-01,Canteen,2026-09-04T19:00:00,86.56,78.69,11.76,Friday,13,Mixed,72.7,Yes,Overflowed
CAN-09,Canteen,2026-09-30T20:00:00,92.6,75.64,11.76,Wednesday,14,Mixed,63.29,Yes,Overflowed
AB-B-07,Academic Block B,2026-09-01T23:00:00,43.86,36.26,2.5,Tuesday,17,Paper,40.48,No,No Overflow
CA-08,Common Area,2026-09-25T17:00:00,56.57,50.75,3.3,Friday,11,Plastic,48.32,No,No Overflow
CAN-10,Canteen,2026-09-18T18:00:00,38.97,32.6,11.76,Friday,12,Mixed,73.91,Yes,Likely Overflow
HB1-01,Hostel Block 1,2026-09-06T22:00:00,100,100,4.0,Sunday,16,Organic,64.33,Yes,Overflowed
AB-A-07,Academic Block A,2026-09-20T19:00:00,23.79,18.88,0.9,Sunday,13,Paper,40.22,No,No Overflow
HB2-02,Hostel Block 2,2026-09-20T21:00:00,81.42,81.96,3.8,Sunday,15,Organic,52.08,Yes,Likely Overflow
AB-A-03,Academic Block A,2026-09-23T19:00:00,98.36,90.4,2.0,Wednesday,13,Paper,34.03,Yes,Overflowed
HB2-09,Hostel Block 2,2026-09-23T00:00:00,72.3,63.34,5.64,Wednesday,18,Organic,66.92,No,Likely Overflow
AB-B-05,Academic Block B,2026-09-12T19:00:00,36.22,32.8,1.12,Saturday,13,Paper,38.26,No,No Overflow
HB1-06,Hostel Block 1,2026-09-20T18:00:00,55.79,57.05,4.0,Sunday,12,Organic,58.94,No,No Overflow
CA-04,Common Area,2026-09-10T21:00:00,88.53,86.51,3.3,Thursday,15,Plastic,47.57,Yes,Overflowed
HB1-10,Hostel Block 1,2026-09-23T17:00:00,20.28,20.19,4.4,Wednesday,11,Organic,56.98,No,No Overflow
LIB-07,Library,2026-09-13T23:00:00,78.71,82.37,0.9,Sunday,17,Paper,41.47,Yes,Likely Overflow
LIB-01,Library,2026-09-10T19:00:00,67.6,72.43,2.16,Thursday,13,Paper,37.86,No,No Overflow
HB1-03,Hostel Block 1,2026-09-07T19:00:00,77.74,71.85,4.4,Monday,13,Organic,61.14,Yes,Likely Overflow
HB1-05,Hostel Block 1,2026-09-15T20:00:00,31.12,27.1,4.4,Tuesday,14,Organic,54.96,No,No Overflow
CA-04,Common Area,2026-09-27T00:00:00,85.36,88.53,2.64,Sunday,18,Plastic,45.05,Yes,Overflowed
HB2-07,Hostel Block 2,2026-09-22T23:00:00,27.98,17.47,4.18,Tuesday,17,Organic,61.15,No,No Overflow
AB-B-08,Academic Block B,2026-09-22T17:00:00,85.81,87.52,2.5,Tuesday,11,Paper,41.04,Yes,Overflowed
AB-A-02,Academic Block A,2026-09-02T16:00:00,72.27,68.71,2.0,Wednesday,10,Paper,51.71,No,Likely Overflow
CAN-06,Canteen,2026-09-03T20:00:00,67.86,60.38,11.76,Thursday,14,Mixed,64.46,Yes,Likely Overflow
CAN-01,Canteen,2026-09-13T20:00:00,94.37,86.56,12.74,Sunday,14,Mixed,64.19,Yes,Overflowed
CAN-01,Canteen,2026-09-02T03:00:00,100,94.37,8.4,Wednesday,21,Mixed,70.52,Yes,Overflowed
AB-A-07,Academic Block A,2026-09-25T19:00:00,30.05,23.79,2.0,Friday,13,Paper,37.94,No,No Overflow
CAN-01,Canteen,2026-09-17T20:00:00,100,100,11.76,Thursday,14,Mixed,57.9,Yes,Overflowed
CA-01,Common Area,2026-09-04T20:00:00,76.6,73.79,3.3,Friday,14,Plastic,44.4,Yes,Likely Overflow
HB2-08,Hostel Block 2,2026-09-18T22:00:00,73.8,70.42,4.18,Friday,16,Organic,55.71,No,Likely Overflow
CAN-09,Canteen,2026-09-25T03:00:00,100,92.6,8.4,Friday,21,Mixed,66.09,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-16T03:00:00,100,100,5.64,Wednesday,21,Organic,52.86,Yes,Overflowed
HB2-03,Hostel Block 2,2026-09-10T01:00:00,70.38,61.01,5.64,Thursday,19,Organic,54.45,No,Likely Overflow
HB2-08,Hostel Block 2,2026-09-16T23:00:00,77.14,73.8,4.18,Wednesday,17,Organic,54.31,Yes,Likely Overflow
CAN-02,Canteen,2026-09-10T16:00:00,46.52,40.64,8.4,Thursday,10,Mixed,61.89,Yes,Likely Overflow
HB2-09,Hostel Block 2,2026-09-03T15:00:00,74.84,72.3,4.18,Thursday,9,Organic,52.71,No,Likely Overflow
AB-B-02,Academic Block B,2026-09-23T16:00:00,45.7,42.61,2.5,Wednesday,10,Paper,38.16,No,No Overflow
HB2-01,Hostel Block 2,2026-09-02T16:00:00,49.12,41.16,4.18,Wednesday,10,Organic,64.99,No,No Overflow
CA-07,Common Area,2026-09-23T13:00:00,92.29,85.27,3.3,Wednesday,7,Plastic,57.42,Yes,Overflowed
HB1-09,Hostel Block 1,2026-09-16T13:00:00,38.29,33.89,5.94,Wednesday,7,Organic,63.97,No,No Overflow
CA-04,Common Area,2026-09-27T19:00:00,91.28,85.36,2.64,Sunday,13,Plastic,51.69,Yes,Overflowed
CAN-08,Canteen,2026-09-21T03:00:00,70.47,66.0,8.4,Monday,21,Mixed,60.97,Yes,Likely Overflow
HB2-02,Hostel Block 2,2026-09-16T13:00:00,89.43,81.42,5.64,Wednesday,7,Organic,57.0,Yes,Overflowed
CAN-08,Canteen,2026-09-14T00:00:00,81.77,70.47,11.76,Monday,18,Mixed,59.97,Yes,Likely Overflow
AB-B-01,Academic Block B,2026-09-20T21:00:00,40.96,41.32,1.12,Sunday,15,Paper,37.49,No,No Overflow
LIB-01,Library,2026-09-22T13:00:00,68.76,67.6,2.16,Tuesday,7,Paper,29.51,No,No Overflow
CA-02,Common Area,2026-09-15T15:00:00,95.31,93.7,3.3,Tuesday,9,Plastic,42.91,Yes,Overflowed
AB-B-06,Academic Block B,2026-09-15T18:00:00,46.88,39.07,2.5,Tuesday,12,Paper,43.08,No,No Overflow
HB1-02,Hostel Block 1,2026-09-26T02:00:00,43.78,33.69,5.4,Saturday,20,Organic,54.59,No,No Overflow
HB2-05,Hostel Block 2,2026-09-02T00:00:00,47.33,34.69,5.64,Wednesday,18,Organic,59.71,No,No Overflow
HB1-07,Hostel Block 1,2026-09-08T23:00:00,37.35,26.55,4.4,Tuesday,17,Organic,48.24,No,No Overflow
AB-A-03,Academic Block A,2026-09-25T13:00:00,96.15,98.36,2.0,Friday,7,Paper,51.09,Yes,Overflowed
AB-A-02,Academic Block A,2026-09-20T15:00:00,72.8,72.27,0.9,Sunday,9,Paper,38.29,No,Likely Overflow
AB-A-08,Academic Block A,2026-09-19T16:00:00,29.56,30.5,0.9,Saturday,10,Paper,42.37,No,No Overflow
LIB-03,Library,2026-09-21T00:00:00,42.26,36.21,2.16,Monday,18,Paper,40.93,No,No Overflow
AB-B-03,Academic Block B,2026-09-10T14:00:00,87.87,84.31,2.5,Thursday,8,Paper,47.42,Yes,Overflowed
CA-05,Common Area,2026-09-13T19:00:00,29.8,25.87,2.64,Sunday,13,Plastic,58.95,No,No Overflow
CAN-10,Canteen,2026-09-21T16:00:00,51.18,38.97,8.4,Monday,10,Mixed,58.83,Yes,Likely Overflow
CA-01,Common Area,2026-09-22T22:00:00,84.05,76.6,3.3,Tuesday,16,Plastic,56.5,Yes,Likely Overflow
LIB-01,Library,2026-09-26T13:00:00,68.66,68.76,0.9,Saturday,7,Paper,34.25,No,No Overflow
HB1-08,Hostel Block 1,2026-09-03T21:00:00,14.29,11.01,4.4,Thursday,15,Organic,58.66,No,No Overflow
HB2-06,Hostel Block 2,2026-09-04T19:00:00,32.28,26.2,4.18,Friday,13,Organic,67.29,No,No Overflow
CAN-10,Canteen,2026-09-16T00:00:00,58.41,51.18,11.76,Wednesday,18,Mixed,59.75,Yes,Likely Overflow
HB2-08,Hostel Block 2,2026-09-21T17:00:00,87.19,77.14,4.18,Monday,11,Organic,61.09,Yes,Overflowed
CAN-06,Canteen,2026-09-16T20:00:00,82.85,67.86,11.76,Wednesday,14,Mixed,64.84,Yes,Likely Overflow
HB1-02,Hostel Block 1,2026-09-12T02:00:00,55.26,43.78,5.4,Saturday,20,Organic,51.42,No,No Overflow
HB1-02,Hostel Block 1,2026-09-29T20:00:00,59.17,55.26,4.4,Tuesday,14,Organic,51.39,No,No Overflow
LIB-04,Library,2026-09-22T19:00:00,49.25,49.54,2.16,Tuesday,13,Paper,34.06,No,No Overflow
HB2-06,Hostel Block 2,2026-09-07T18:00:00,34.22,32.28,4.18,Monday,12,Organic,64.36,No,No Overflow
CA-03,Common Area,2026-09-21T00:00:00,84.68,80.6,3.3,Monday,18,Plastic,57.84,Yes,Likely Overflow
HB2-08,Hostel Block 2,2026-09-07T14:00:00,91.52,87.19,5.64,Monday,8,Organic,54.34,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-25T16:00:00,100,100,4.18,Friday,10,Organic,62.43,Yes,Overflowed
HB2-06,Hostel Block 2,2026-09-16T01:00:00,36.98,34.22,5.64,Wednesday,19,Organic,50.31,No,No Overflow
HB1-10,Hostel Block 1,2026-09-23T16:00:00,25.82,20.28,4.4,Wednesday,10,Organic,52.51,No,No Overflow
HB2-05,Hostel Block 2,2026-09-18T21:00:00,58.46,47.33,4.18,Friday,15,Organic,56.19,No,No Overflow
HB2-10,Hostel Block 2,2026-09-11T18:00:00,100,100,4.18,Friday,12,Organic,62.65,Yes,Overflowed
HB1-01,Hostel Block 1,2026-09-08T14:00:00,100,100,5.94,Tuesday,8,Organic,59.98,Yes,Overflowed
CAN-04,Canteen,2026-09-19T01:00:00,79.16,70.74,12.74,Saturday,19,Mixed,69.42,Yes,Likely Overflow
CAN-04,Canteen,2026-09-16T17:00:00,97.59,79.16,11.76,Wednesday,11,Mixed,70.04,Yes,Overflowed
HB2-08,Hostel Block 2,2026-09-20T17:00:00,99.98,91.52,3.8,Sunday,11,Organic,67.65,Yes,Overflowed
HB1-03,Hostel Block 1,2026-09-08T18:00:00,75.34,77.74,4.4,Tuesday,12,Organic,50.23,Yes,Likely Overflow
HB2-09,Hostel Block 2,2026-09-05T17:00:00,72.4,74.84,3.8,Saturday,11,Organic,50.82,No,Likely Overflow
HB1-03,Hostel Block 1,2026-09-23T15:00:00,83.28,75.34,4.4,Wednesday,9,Organic,58.48,Yes,Likely Overflow
AB-A-07,Academic Block A,2026-09-28T13:00:00,31.62,30.05,2.0,Monday,7,Paper,44.33,No,No Overflow
HB2-03,Hostel Block 2,2026-09-11T15:00:00,71.09,70.38,4.18,Friday,9,Organic,67.38,No,Likely Overflow
CA-02,Common Area,2026-09-16T14:00:00,97.22,95.31,3.3,Wednesday,8,Plastic,56.8,Yes,Overflowed
AB-A-05,Academic Block A,2026-09-19T23:00:00,21.33,25.31,0.9,Saturday,17,Paper,46.36,No,No Overflow
CAN-08,Canteen,2026-09-19T17:00:00,90.98,81.77,12.74,Saturday,11,Mixed,58.53,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-25T19:00:00,100,100,4.18,Friday,13,Organic,60.91,Yes,Overflowed
AB-B-07,Academic Block B,2026-09-25T21:00:00,52.08,43.86,2.5,Friday,15,Paper,43.85,No,No Overflow
HB1-04,Hostel Block 1,2026-09-28T22:00:00,83.03,81.35,4.4,Monday,16,Organic,64.82,Yes,Likely Overflow
LIB-04,Library,2026-09-02T22:00:00,45.8,49.25,2.16,Wednesday,16,Paper,45.28,No,No Overflow
CAN-05,Canteen,2026-09-07T23:00:00,64.28,53.63,8.4,Monday,17,Mixed,60.8,Yes,Likely Overflow
AB-B-03,Academic Block B,2026-09-08T15:00:00,85.56,87.87,2.5,Tuesday,9,Paper,46.94,Yes,Overflowed
HB2-01,Hostel Block 2,2026-09-16T00:00:00,51.84,49.12,5.64,Wednesday,18,Organic,60.69,No,No Overflow
AB-B-07,Academic Block B,2026-09-11T00:00:00,59.61,52.08,2.5,Friday,18,Paper,42.09,No,No Overflow
AB-A-05,Academic Block A,2026-09-22T16:00:00,27.36,21.33,2.0,Tuesday,10,Paper,50.63,No,No Overflow
LIB-05,Library,2026-09-19T23:00:00,23.37,26.7,0.9,Saturday,17,Paper,42.47,No,No Overflow
AB-A-08,Academic Block A,2026-09-18T16:00:00,37.28,29.56,2.0,Friday,10,Paper,45.66,No,No Overflow
CAN-09,Canteen,2026-09-05T14:00:00,100,100,9.1,Saturday,8,Mixed,58.07,Yes,Overflowed
LIB-03,Library,2026-09-25T02:00:00,41.46,42.26,2.16,Friday,20,Paper,38.25,No,No Overflow
AB-A-08,Academic Block A,2026-09-16T00:00:00,37.92,37.28,2.0,Wednesday,18,Paper,39.47,No,No Overflow
HB1-02,Hostel Block 1,2026-09-17T21:00:00,57.7,59.17,4.4,Thursday,15,Organic,55.89,No,No Overflow
AB-A-03,Academic Block A,2026-09-29T19:00:00,99.6,96.15,2.0,Tuesday,13,Paper,47.22,Yes,Overflowed
AB-A-02,Academic Block A,2026-09-03T16:00:00,79.5,72.8,2.0,Thursday,10,Paper,51.31,Yes,Likely Overflow
LIB-01,Library,2026-09-19T13:00:00,71.97,68.66,0.9,Saturday,7,Paper,45.99,No,Likely Overflow
HB1-02,Hostel Block 1,2026-09-19T13:00:00,58.55,57.7,5.4,Saturday,7,Organic,60.74,No,No Overflow
HB2-08,Hostel Block 2,2026-09-21T20:00:00,99.7,99.98,4.18,Monday,14,Organic,66.49,Yes,Overflowed
LIB-02,Library,2026-09-14T23:00:00,89.26,87.52,2.16,Monday,17,Paper,42.66,Yes,Overflowed
HB2-01,Hostel Block 2,2026-09-11T18:00:00,61.03,51.84,4.18,Friday,12,Organic,62.06,No,No Overflow
HB1-06,Hostel Block 1,2026-09-15T00:00:00,64.01,55.79,5.94,Tuesday,18,Organic,55.92,No,No Overflow
HB1-10,Hostel Block 1,2026-09-28T01:00:00,31.13,25.82,5.94,Monday,19,Organic,56.9,No,No Overflow
HB1-05,Hostel Block 1,2026-09-09T18:00:00,39.34,31.12,4.4,Wednesday,12,Organic,49.09,No,No Overflow
CA-02,Common Area,2026-09-18T02:00:00,100,97.22,3.3,Friday,20,Plastic,59.79,Yes,Overflowed
HB2-09,Hostel Block 2,2026-09-15T19:00:00,76.84,72.4,4.18,Tuesday,13,Organic,50.98,Yes,Likely Overflow
LIB-04,Library,2026-09-25T20:00:00,51.6,45.8,2.16,Friday,14,Paper,39.26,No,No Overflow
AB-B-06,Academic Block B,2026-09-09T21:00:00,46.41,46.88,2.5,Wednesday,15,Paper,39.36,No,No Overflow
CA-03,Common Area,2026-09-23T20:00:00,94.6,84.68,3.3,Wednesday,14,Plastic,44.19,Yes,Overflowed
LIB-03,Library,2026-09-26T16:00:00,39.71,41.46,0.9,Saturday,10,Paper,40.78,No,No Overflow
AB-A-01,Academic Block A,2026-09-18T19:00:00,97.16,89.38,2.0,Friday,13,Paper,35.68,Yes,Overflowed
HB2-04,Hostel Block 2,2026-09-04T23:00:00,80.36,76.2,4.18,Friday,17,Organic,64.98,Yes,Likely Overflow
CAN-02,Canteen,2026-09-10T21:00:00,53.74,46.52,8.4,Thursday,15,Mixed,69.7,Yes,Likely Overflow
HB2-05,Hostel Block 2,2026-09-16T16:00:00,57.66,58.46,4.18,Wednesday,10,Organic,58.22,No,No Overflow
AB-B-05,Academic Block B,2026-09-30T22:00:00,44.03,36.22,2.5,Wednesday,16,Paper,46.15,No,No Overflow
CA-02,Common Area,2026-09-03T17:00:00,100,100,3.3,Thursday,11,Plastic,55.91,Yes,Overflowed
HB1-06,Hostel Block 1,2026-10-01T01:00:00,74.44,64.01,5.94,Thursday,19,Organic,56.14,No,Likely Overflow
HB1-03,Hostel Block 1,2026-09-24T17:00:00,88.8,83.28,4.4,Thursday,11,Organic,62.07,Yes,Overflowed
LIB-07,Library,2026-09-17T02:00:00,81.41,78.71,2.16,Thursday,20,Paper,30.67,Yes,Likely Overflow
HB1-07,Hostel Block 1,2026-09-11T21:00:00,40.03,37.35,4.4,Friday,15,Organic,60.73,No,No Overflow
CA-06,Common Area,2026-09-12T02:00:00,86.72,81.32,2.64,Saturday,20,Plastic,45.4,Yes,Overflowed
LIB-01,Library,2026-09-13T16:00:00,71.62,71.97,0.9,Sunday,10,Paper,43.41,No,Likely Overflow
HB1-05,Hostel Block 1,2026-09-24T20:00:00,48.1,39.34,4.4,Thursday,14,Organic,59.69,No,No Overflow
HB1-09,Hostel Block 1,2026-09-23T01:00:00,50.96,38.29,5.94,Wednesday,19,Organic,61.77,No,No Overflow
HB2-06,Hostel Block 2,2026-09-02T15:00:00,42.42,36.98,4.18,Wednesday,9,Organic,59.04,No,No Overflow
CA-02,Common Area,2026-09-05T02:00:00,97.04,100,2.64,Saturday,20,Plastic,57.21,Yes,Overflowed
CA-05,Common Area,2026-09-15T13:00:00,31.84,29.8,3.3,Tuesday,7,Plastic,55.0,No,No Overflow
LIB-06,Library,2026-09-05T14:00:00,50.96,43.49,0.9,Saturday,8,Paper,36.45,No,No Overflow
HB1-06,Hostel Block 1,2026-09-21T00:00:00,74.5,74.44,5.94,Monday,18,Organic,54.15,No,Likely Overflow
HB1-06,Hostel Block 1,2026-09-28T23:00:00,77.22,74.5,4.4,Monday,17,Organic,62.47,Yes,Likely Overflow
